FLV,J
0.001092072,0.021675464
0.001302429,0.019789857
0.001533883,0.018738175
0.001829342,0.017422349
0.002181715,0.016347026
0.002668267,0.015199111
0.003263331,0.013876899
0.003891919,0.012902441
0.004700359,0.01199641
0.005748608,0.010853583
0.007119655,0.009909401
0.008598569,0.009047355
0.01025484,0.008335826
0.012230144,0.007750471
0.014585935,0.007076236
0.01739552,0.006460655
0.024127582,0.005534559
0.028775078,0.005007312
0.02048687,0.006006978
0.034317782,0.004655693
0.041446362,0.004212169
0.050055711,0.003810901
0.058951088,0.003511192
0.070306345,0.003205743
0.081765143,0.002926868
0.095091639,0.002696684
0.110590039,0.002462092
0.130242943,0.002247909
0.147706245,0.002033764
0.169632095,0.00185684
0.194812872,0.001710809
0.223731336,0.00154783
0.263490527,0.00136266
0.306435224,0.001199642
0.306435224,0.001325958
