K1,FLV
0.018017395,0.064624543
0.023922292,0.066004242
0.031532399,0.0655411
0.042479679,0.063720822
0.06154213,0.061084728
0.075983013,0.05980788
0.091124188,0.058146814
0.158322312,0.052318389
0.131059424,0.054576158
0.23442479,0.047406831
0.207176156,0.049105643
0.306761548,0.043565603
0.401419597,0.039475741
0.525286158,0.035022124
0.658041618,0.031290522
0.818378213,0.027372148
0.899478927,0.025872837
0.114153985,0.05574133
0.01407228,0.06282972
0.012257091,0.060656105
0.015807803,0.063720822
0.020535833,0.0655411
1.078719218,0.022632889
0.027465023,0.0655411
0.036466233,0.064171082
0.048066776,0.063273703
0.05438871,0.061951081
0.068134357,0.060230508
0.082307617,0.058557705
0.100885166,0.057333679
0.180452371,0.050865346
0.352190875,0.041763331
0.457529437,0.037577127
0.58579587,0.0328715
0.744589873,0.029162968
0.974349518,0.024628464
0.271104769,0.045445651
