K1,FLV
0.023922292,0.084451126
0.029535667,0.085047895
0.040080011,0.083270123
0.054785479,0.080957455
0.075432726,0.078156728
0.098709159,0.074923429
0.122760359,0.071319933
0.157175704,0.067413377
0.213288088,0.061084728
0.334719603,0.052688094
0.277081341,0.056135222
0.416276453,0.048418941
0.529118157,0.042956361
0.692389246,0.037051631
0.848667549,0.0328715
1.017781978,0.029162968
1.20298099,0.025691291
0.183094799,0.064171082
0.015923122,0.082685853
0.013085717,0.080957455
0.01951711,0.083858545
0.029535667,0.085047895
1.474504312,0.021696586
0.034406242,0.084451126
0.045682336,0.082685853
0.06154213,0.079825308
0.068134357,0.079265186
0.085976602,0.077063748
0.110882883,0.073357312
0.137900299,0.069339159
0.250272792,0.058146814
0.47102679,0.045445651
0.603077513,0.040318514
0.772148198,0.035022124
0.939574534,0.03063645
1.331841078,0.023443933
0.373277228,0.050508432
