K1,FLV
0.05158676,0.017757367
0.052318389,0.023068501
0.052688094,0.029968168
0.052688094,0.038931488
0.051224783,0.058489185
0.050154022,0.077658077
0.047741828,0.103109204
0.042654943,0.199781944
0.044495692,0.160640681
0.039198745,0.285255555
0.040603423,0.248460258
0.036022582,0.365225958
0.032640846,0.467615503
0.028958336,0.594373886
0.025691291,0.750021707
0.022004304,0.932769915
0.020364251,1.055451529
0.045766789,0.138906291
0.049802099,0.013970365
0.048418941,0.012618685
0.050865346,0.015923122
0.052318389,0.02023946
0.043565603,0.180452371
0.052688094,0.026292983
0.052688094,0.034157064
0.052318389,0.044373274
0.051951279,0.050944658
0.050865346,0.067151041
0.049105643,0.089809136
0.046743872,0.119242568
0.041179293,0.226058061
0.03429005,0.416276453
0.03063645,0.529118157
0.027372148,0.667677555
0.023776434,0.836419562
0.018582884,1.160046044
0.037313453,0.322773501
