FLV,J
0.001078417,0.01018369
0.001302429,0.009730658
0.001514704,0.00938279
0.001806471,0.00896539
0.002154436,0.008412038
0.002634907,0.00803782
0.003222527,0.007541718
0.003941198,0.007012126
0.004759875,0.006700187
0.005748608,0.006402125
0.006855915,0.006006978
0.008280044,0.005636221
0.010126616,0.005240437
0.012385002,0.004916992
0.014770622,0.004571715
0.01739552,0.00425068
0.024433086,0.003742161
0.029508391,0.003511192
0.020746275,0.004024789
0.035192347,0.003264629
0.043040762,0.002980632
0.050689516,0.002796663
0.059697526,0.00257672
0.070306345,0.002352565
0.082800453,0.002207361
0.097514883,0.002033764
0.117770933,0.001840018
0.136965834,0.00167995
0.159289051,0.001533807
0.187596234,0.001400377
0.215443444,0.001266971
0.247424357,0.00116733
0.263490527,0.00136266
0.306435224,0.001199642
0.306435224,0.001325958
