FLV,J
0.001092072,0.189094913
0.001352532,0.177423798
0.001654167,0.161989224
0.001972795,0.149249557
0.002412758,0.136265936
0.002950839,0.12216774
0.003563795,0.109528135
0.004304075,0.096425022
0.005068951,0.085665586
0.006045341,0.076106696
0.007119655,0.068232629
0.008598569,0.060069796
0.01025484,0.052883502
0.011926225,0.046556904
0.014045629,0.041740085
0.016751122,0.037082583
0.023527988,0.029003507
0.027362669,0.025533748
0.019727956,0.032646305
0.033046516,0.023101298
0.038432564,0.020523568
0.044696497,0.018233478
0.051981303,0.016198923
0.059697526,0.014391392
0.067701921,0.012785546
0.078736322,0.011358891
0.089293486,0.009999999
0.101266182,0.008723915
0.116298363,0.007750471
0.130242943,0.006761445
0.147706245,0.006061898
0.163348424,0.005288349
0.180646929,0.004698256
0.202307127,0.004174007
0.229432976,0.003641369
0.253729797,0.003147919
0.287750829,0.00272134
0.322252822,0.002331251
0.360891683,0.001978986
0.409281378,0.001634702
