FLV,J
0.001078417,0.004174007
0.00131892,0.004061587
0.001633484,0.003952191
0.001948128,0.003776374
0.002382589,0.003708257
0.002913942,0.003641369
0.003608919,0.003479381
0.004469649,0.003385667
0.005466447,0.003235052
0.007030633,0.00309114
0.008707444,0.002900351
0.010516177,0.002796663
0.012861441,0.002696684
0.015533053,0.00257672
0.01875962,0.002417681
0.023233801,0.0022892
0.032633313,0.002071122
0.038432564,0.001997079
0.027362669,0.002187363
0.045262396,0.001873817
0.053306011,0.00179046
0.06199403,0.00167995
0.073935424,0.001576263
0.08817699,0.001533807
0.101266182,0.001387689
0.120772244,0.00130204
0.144035597,0.001221677
0.169632095,0.001135889
0.159289051,0.001533807
0.187596234,0.001400377
0.215443444,0.001266971
0.247424357,0.00116733
0.263490527,0.00136266
0.306435224,0.001199642
0.306435224,0.001325958
