FLV,J
0.001078417,0.121060914
0.001286144,0.11052952
0.001553305,0.099999987
0.001875962,0.090473579
0.002352798,0.080378195
0.002841528,0.072062195
0.003346494,0.06579331
0.003941198,0.05952557
0.004700359,0.053366981
0.005748608,0.046982561
0.006855915,0.042121703
0.008074285,0.038109003
0.009509162,0.034478583
0.011199031,0.030631344
0.013356207,0.027462187
0.015533053,0.024846027
0.021008964,0.019789857
0.025055746,0.017904588
0.01806469,0.022275426
0.029882026,0.015619811
0.034752313,0.013751176
0.040928131,0.012328467
0.047598754,0.010952814
0.056057507,0.009642503
0.064378877,0.008488944
0.074871594,0.007473391
0.08817699,0.006519723
0.099999983,0.005898628
0.11199033,0.005288349
0.128614428,0.004698256
0.145859375,0.004136191
0.167511246,0.003608378
0.187596234,0.003176699
0.210089458,0.002900351
0.226564221,0.002648043
0.247424357,0.002374074
0.280599932,0.002147908
0.302603658,0.001890949
0.338886894,0.001634702
0.384325702,0.00141318
