FLV,J
0.001078417,0.042895438
0.001254182,0.039163848
0.001495766,0.035756879
0.001806471,0.033245973
0.002127498,0.030353828
0.002505574,0.027713266
0.003026039,0.025302415
0.003654615,0.022892003
0.004469649,0.020711209
0.0053306,0.018568409
0.006437887,0.016953093
0.007677963,0.015478304
0.009156905,0.014003772
0.010784175,0.012785546
0.012700625,0.011567542
0.014957648,0.01037075
0.021274957,0.008566556
0.025373002,0.007541718
0.017615764,0.009468574
0.030643549,0.006761445
0.036546161,0.00611732
0.044137627,0.005434728
0.05263949,0.004828303
0.06199403,0.004368337
0.072098054,0.003952191
0.080742778,0.003674661
0.092728517,0.003354993
0.109207258,0.003007883
0.125418231,0.002672253
0.144035597,0.002417681
0.176157671,0.002128448
0.199777545,0.001873817
0.229432976,0.001695309
0.266826842,0.001506141
0.306435224,0.001325958
,
0.250557243,0.001890949
0.284152887,0.00166473
