K1,FLV
0.128852155,0.064754428
0.125273535,0.079949079
0.120939655,0.098709159
0.116755742,0.118378985
0.109586053,0.154907435
0.104315433,0.187131169
0.098601546,0.221182048
0.092546663,0.263336216
0.087477437,0.306761548
0.078709017,0.392761082
0.082105659,0.359955009
0.072842574,0.464228922
0.067413377,0.536866221
0.061516379,0.625398266
0.056135222,0.733843937
0.050865346,0.848667549
0.048418941,0.899478927
0.090612169,0.285255555
0.13067964,0.05321556
0.13067964,0.04912642
0.128852155,0.058915867
0.126158772,0.071690748
0.044810118,1.010410961
0.122654918,0.089809136
0.119248414,0.108491169
0.114315175,0.129167972
0.112716572,0.140940259
0.107295387,0.171500703
0.100706636,0.202707421
0.095190421,0.244874474
0.085047895,0.327499988
0.069829139,0.502870287
0.065081208,0.577341652
0.058557705,0.677454593
0.05306041,0.794927447
0.046415891,0.96729305
0.075986053,0.425453369
