FLV,J
0.00131892,0.267225248
0.001572973,0.255337508
0.001899715,0.23740729
0.002294329,0.220736161
0.002770913,0.203376332
0.003346494,0.184001835
0.003991102,0.164964809
0.004820144,0.150614104
0.00567673,0.135031408
0.006770198,0.119964116
0.008074285,0.106578087
0.009509162,0.094685737
0.011199031,0.084120376
0.013024292,0.074733935
0.014957648,0.06700187
0.017178013,0.058451866
0.023527988,0.046135122
0.028059988,0.04098719
0.019977751,0.051929606
0.033046516,0.036083795
0.039411991,0.031479198
0.045835509,0.027462187
0.053306011,0.024397862
0.061218877,0.021284489
0.070306345,0.018568409
0.081765143,0.016052163
0.092728517,0.013876899
0.107841766,0.012216772
0.123850042,0.01037075
0.142234623,0.00896539
0.161305968,0.00761067
0.182934279,0.006460655
0.210089458,0.005534559
0.235279918,0.004698256
0.273626742,0.003880903
0.306435224,0.003176699
0.347523194,0.002648043
0.384325702,0.002247909
0.42502602,0.001890949
0.475987627,0.001561982
