K1,FLV
0.021295887,0.111925656
0.030407002,0.111140291
0.042789572,0.109586053
0.055993239,0.108053583
0.081711526,0.103583468
0.106151043,0.097909674
0.137900299,0.091897304
0.174011943,0.08564888
0.226058061,0.077608314
0.337161405,0.066470657
0.293670917,0.070322582
0.438004726,0.059388217
0.5567364,0.05306041
0.702528146,0.046090197
0.861094888,0.040035606
1.06315112,0.033810532
1.168508658,0.031070961
0.196898687,0.082105659
0.014914819,0.109586053
0.012618685,0.107295387
0.017757367,0.111140291
0.025913522,0.111925656
1.421878573,0.025872837
0.037000221,0.111140291
0.049484801,0.108817105
0.063357692,0.106542511
0.071690748,0.105052572
0.093133043,0.100706636
0.120988679,0.094522484
0.154907435,0.088095565
0.261429073,0.073357312
0.495612853,0.056135222
0.625398266,0.049105643
0.777781072,0.043259909
0.953333057,0.037051631
1.293676163,0.028353023
