FLV,J
0.001286144,0.398832474
0.00159289,0.374216161
0.001923769,0.35111919
0.002352798,0.326463025
0.002877507,0.298063183
0.003431778,0.277132699
0.004092812,0.253024179
0.004820144,0.231012967
0.005748608,0.209005687
0.006855915,0.189094913
0.008176521,0.16799502
0.009629567,0.150614104
0.011629846,0.133808039
0.013696581,0.117800262
0.016751122,0.103707535
0.019727956,0.090473579
0.02668268,0.06700187
0.031031525,0.058451866
0.023233801,0.077504702
0.035637952,0.050992916
0.043040762,0.044082754
0.050689516,0.037763754
0.059697526,0.032350533
0.067701921,0.028480361
0.078736322,0.024620925
0.092728517,0.020711209
0.103846881,0.017904588
0.117770933,0.015478304
0.133562096,0.013503142
0.151470438,0.011358891
0.176157671,0.009555143
0.204868524,0.007750471
0.238259031,0.006344123
0.277091402,0.005007312
0.322252822,0.003988325
0.365461292,0.003235052
0.409281378,0.002672253
0.458355166,0.002109165
0.500557195,0.001695309
